[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-255-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-255-1.js: data Expected SameValue(«"data"», «"overrideData"») to be true
[FAIL 1] built-ins/Function/prototype/toString/AsyncGenerator.js | Exception in /tmp/repro_built-ins__Function__prototype__toString__AsyncGenerator.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/getDay/name.js | Exception in /tmp/repro_built-ins__Date__prototype__getDay__name.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Array/prototype/unshift/set-length-zero-array-length-is-non-writable.js | Exception in /tmp/repro_built-ins__Array__prototype__unshift__set-length-zero-array-length-is-non-writable.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/prototype/__proto__/set-non-obj-coercible.js | Exception in /tmp/repro_built-ins__Object__prototype____proto____set-non-obj-coercible.js: TypeError: Cannot read properties of undefined (reading 'set')
[FAIL 1] built-ins/decodeURI/S15.1.3.1_A1.8_T2.js | Exception in /tmp/repro_built-ins__decodeURI__S15.1.3.1_A1.8_T2.js: #00E0-00EF 
[FAIL 1] built-ins/String/prototype/toWellFormed/prop-desc.js | Exception in /tmp/repro_built-ins__String__prototype__toWellFormed__prop-desc.js: The value of `typeof String.prototype.toWellFormed` is "function" Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Object/prototype/setPrototypeOf-with-different-values.js | Exception in /tmp/repro_built-ins__Object__prototype__setPrototypeOf-with-different-values.js: Object.setPrototypeOf(ObjProto, {}) throws a TypeError Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Promise/resolve-function-property-order.js | Exception in /tmp/repro_built-ins__Promise__resolve-function-property-order.js: The `length` property comes before the `name` property on built-in functions
[FAIL 1] built-ins/Date/S15.9.3.1_A3_T4.1.js | Exception in /tmp/repro_built-ins__Date__S15.9.3.1_A3_T4.1.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Set/set-iterable-calls-add.js | Exception in /tmp/repro_built-ins__Set__set-iterable-calls-add.js: `Set.prototype.add` called twice. Expected SameValue(«0», «2») to be true
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-126.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-126.js: arrObj.length Expected SameValue(«null», «0») to be true
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-5-a-13.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-5-a-13.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/S15.3.2.1_A2_T5.js | Exception in /tmp/repro_built-ins__Function__S15.3.2.1_A2_T5.js: #1: test failed
[FAIL 1] built-ins/Array/prototype/includes/get-prop.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__get-prop.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/S15.9.5_A24_T1.js | Exception in /tmp/repro_built-ins__Date__prototype__S15.9.5_A24_T1.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/setHours/arg-sec-to-number.js | Exception in /tmp/repro_built-ins__Date__prototype__setHours__arg-sec-to-number.js: TypeError: function is not a constructor
[FAIL 1] built-ins/JSON/parse/reviver-context-source-object-literal.js | Exception in /tmp/repro_built-ins__JSON__parse__reviver-context-source-object-literal.js: context should be an object Expected SameValue(«"undefined"», «"object"») to be true
[FAIL 1] built-ins/Array/prototype/map/15.4.4.19-8-b-10.js | Exception in /tmp/repro_built-ins__Array__prototype__map__15.4.4.19-8-b-10.js: testResult.length Expected SameValue(«3», «20») to be true
[FAIL 1] built-ins/Array/prototype/pop/S15.4.4.6_A4_T2.js | Exception in /tmp/repro_built-ins__Array__prototype__pop__S15.4.4.6_A4_T2.js: TypeError: is not a function
[FAIL 1] built-ins/Promise/all/prop-desc.js | Exception in /tmp/repro_built-ins__Promise__all__prop-desc.js: obj['all'] descriptor should be writable
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-410.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-410.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/lastIndexOf/15.4.4.15-5-16.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__15.4.4.15-5-16.js: arr.lastIndexOf(true, "Infinity") Expected SameValue(«-1», «4294967294») to be true
[FAIL 1] built-ins/Date/prototype/getMilliseconds/not-a-constructor.js | Exception in /tmp/repro_built-ins__Date__prototype__getMilliseconds__not-a-constructor.js: isConstructor invoked with a non-function value
[FAIL 1] built-ins/Function/S15.3.2.1_A1_T1.js | Exception in /tmp/repro_built-ins__Function__S15.3.2.1_A1_T1.js: The value of e is expected to be 7 Expected SameValue(«TypeError: function is not a constructor», «7») to be true
[FAIL 1] built-ins/Array/prototype/lastIndexOf/calls-only-has-on-prototype-after-length-zeroed.js | Exception in /tmp/repro_built-ins__Array__prototype__lastIndexOf__calls-only-has-on-prototype-after-length-zeroed.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/reject/capability-invocation.js | Exception in /tmp/repro_built-ins__Promise__reject__capability-invocation.js: Expected SameValue(«undefined», «[object Object]») to be true
[FAIL 1] built-ins/Promise/race/invoke-then-get-error-close.js | Exception in /tmp/repro_built-ins__Promise__race__invoke-then-get-error-close.js: Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Promise/withResolvers/promise.js | Exception in /tmp/repro_built-ins__Promise__withResolvers__promise.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/setUTCMilliseconds/length.js | Exception in /tmp/repro_built-ins__Date__prototype__setUTCMilliseconds__length.js: TypeError: Object.getOwnPropertyDescriptor called on null or undefined
[FAIL 1] built-ins/Promise/executor-function-property-order.js | Exception in /tmp/repro_built-ins__Promise__executor-function-property-order.js: TypeError: Object.getOwnPropertyNames called on null or undefined
[FAIL 1] built-ins/Object/assign/target-is-sealed-existing-accessor-property.js | Exception in /tmp/repro_built-ins__Object__assign__target-is-sealed-existing-accessor-property.js: TypeError: Cannot assign to read only property
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-145.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-145.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/of/proto-from-ctor-realm.js | Exception in /tmp/repro_built-ins__Array__of__proto-from-ctor-realm.js: TypeError: Cannot read properties of undefined (reading 'createRealm')
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-7-b-11.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-7-b-11.js: testResult !== true
[FAIL 1] built-ins/String/prototype/match/cstm-matcher-get-err.js | Exception in /tmp/repro_built-ins__String__prototype__match__cstm-matcher-get-err.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-4-271.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-4-271.js: Expected obj[0] to be writable, but was not.
[FAIL 1] built-ins/Array/prototype/forEach/15.4.4.18-7-b-14.js | Exception in /tmp/repro_built-ins__Array__prototype__forEach__15.4.4.18-7-b-14.js: testResult !== true
[FAIL 1] built-ins/Date/prototype/getMinutes/this-value-invalid-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getMinutes__this-value-invalid-date.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/every/15.4.4.16-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__every__15.4.4.16-2-10.js: Array.prototype.every.call(child, callbackfn2) Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Date/prototype/setMinutes/this-value-valid-date.js | Exception in /tmp/repro_built-ins__Date__prototype__setMinutes__this-value-valid-date.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Function/prototype/call/S15.3.4.4_A7_T6.js | Exception in /tmp/repro_built-ins__Function__prototype__call__S15.3.4.4_A7_T6.js: #1: Function.prototype.call can't be used as [[Construct]] caller
[FAIL 1] built-ins/Promise/all/S25.4.4.1_A2.2_T1.js | Exception in /tmp/repro_built-ins__Promise__all__S25.4.4.1_A2.2_T1.js: Expected SameValue(«3», «4») to be true
[FAIL 1] built-ins/Object/prototype/__defineSetter__/define-existing.js | Exception in /tmp/repro_built-ins__Object__prototype____defineSetter____define-existing.js: TypeError: is not a function
[FAIL 1] built-ins/Date/S15.9.3.1_A4_T4.js | Exception in /tmp/repro_built-ins__Date__S15.9.3.1_A4_T4.js: `new Date(new PoisonedValueOf(1), new PoisonedValueOf(2), new PoisonedValueOf(3), new PoisonedValueOf(4), new PoisonedValueOf(5))` throws a Test262Error exception Expected a Test262Error but got a TypeError
[FAIL 1] built-ins/String/fromCharCode/S9.7_A3.1_T3.js | Exception in /tmp/repro_built-ins__String__fromCharCode__S9.7_A3.1_T3.js: #1: String.fromCharCode(new String(1)).charCodeAt(0) === 1. Actual: 0
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-94-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-94-1.js: afterDeleted Expected SameValue(«true», «false») to be true
[FAIL 1] built-ins/Promise/any/iter-arg-is-number-reject.js | Exception in /tmp/repro_built-ins__Promise__any__iter-arg-is-number-reject.js: TypeError: is not a function
[FAIL 1] built-ins/Object/defineProperty/15.2.3.6-3-254-1.js | Exception in /tmp/repro_built-ins__Object__defineProperty__15.2.3.6-3-254-1.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/indexOf/15.4.4.14-9-a-15.js | Exception in /tmp/repro_built-ins__Array__prototype__indexOf__15.4.4.14-9-a-15.js: Array.prototype.indexOf.call(arr, 1) Expected SameValue(«-1», «1») to be true
[FAIL 1] built-ins/Object/prototype/__proto__/get-abrupt.js | Exception in /tmp/repro_built-ins__Object__prototype____proto____get-abrupt.js: TypeError: Cannot read properties of undefined (reading 'get')
[FAIL 1] built-ins/Function/prototype/call/S15.3.4.4_A6_T6.js | Exception in /tmp/repro_built-ins__Function__prototype__call__S15.3.4.4_A6_T6.js: TypeError: is not a function
[FAIL 1] built-ins/Object/getOwnPropertyDescriptor/15.2.3.3-4-135.js | Exception in /tmp/repro_built-ins__Object__getOwnPropertyDescriptor__15.2.3.3-4-135.js: TypeError: Cannot read properties of undefined (reading 'value')
[FAIL 1] built-ins/Date/prototype/getUTCHours/this-value-non-date.js | Exception in /tmp/repro_built-ins__Date__prototype__getUTCHours__this-value-non-date.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-218.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-218.js: obj['0'] descriptor should not be writable
[FAIL 1] built-ins/Function/prototype/call/S15.3.4.4_A10.js | Exception in /tmp/repro_built-ins__Function__prototype__call__S15.3.4.4_A10.js: Function.prototype.call.hasOwnProperty('length') must return true
[FAIL 1] built-ins/String/prototype/trimEnd/this-value-object-toprimitive-call-err.js | Exception in /tmp/repro_built-ins__String__prototype__trimEnd__this-value-object-toprimitive-call-err.js: Expected a Test262Error to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Object/groupBy/emptyList.js | Exception in /tmp/repro_built-ins__Object__groupBy__emptyList.js: TypeError: is not a function
[FAIL 1] built-ins/Date/prototype/setHours/arg-sec-to-number-err.js | Exception in /tmp/repro_built-ins__Date__prototype__setHours__arg-sec-to-number-err.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Promise/all/invoke-then-get-error-close.js | Exception in /tmp/repro_built-ins__Promise__all__invoke-then-get-error-close.js: Expected SameValue(«0», «1») to be true
[FAIL 1] built-ins/Array/prototype/includes/return-abrupt-tointeger-fromindex-symbol.js | Exception in /tmp/repro_built-ins__Array__prototype__includes__return-abrupt-tointeger-fromindex-symbol.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/SuppressedError/newtarget-proto.js | Exception in /tmp/repro_built-ins__SuppressedError__newtarget-proto.js: TypeError: function is not a constructor
[FAIL 1] built-ins/undefined/15.1.1.3-2.js | Exception in /tmp/repro_built-ins__undefined__15.1.1.3-2.js: Expected a TypeError to be thrown but no exception was thrown at all
[FAIL 1] built-ins/Function/15.3.2.1-11-3.js | Exception in /tmp/repro_built-ins__Function__15.3.2.1-11-3.js: TypeError: is not a function
[FAIL 1] built-ins/Array/prototype/fill/typed-array-resize.js | Exception in /tmp/repro_built-ins__Array__prototype__fill__typed-array-resize.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Array/prototype/filter/15.4.4.20-2-10.js | Exception in /tmp/repro_built-ins__Array__prototype__filter__15.4.4.20-2-10.js: newArr.length Expected SameValue(«0», «2») to be true
[FAIL 1] built-ins/Object/defineProperties/15.2.3.7-6-a-147.js | Exception in /tmp/repro_built-ins__Object__defineProperties__15.2.3.7-6-a-147.js: arr.length Expected SameValue(«3», «3») to be true
[FAIL 1] built-ins/Date/prototype/setHours/arg-hour-to-number.js | Exception in /tmp/repro_built-ins__Date__prototype__setHours__arg-hour-to-number.js: TypeError: function is not a constructor
[FAIL 1] built-ins/Date/prototype/setMilliseconds/this-value-non-date.js | Exception in /tmp/repro_built-ins__Date__prototype__setMilliseconds__this-value-non-date.js: Expected SameValue(«"undefined"», «"function"») to be true
[FAIL 1] built-ins/Promise/race/resolve-non-thenable.js | Exception in /tmp/repro_built-ins__Promise__race__resolve-non-thenable.js: TypeError: is not a function
[FAIL 1] built-ins/Function/internals/Construct/base-ctor-revoked-proxy.js | Exception in /tmp/repro_built-ins__Function__internals__Construct__base-ctor-revoked-proxy.js: TypeError: is not a function
[FAIL 1] built-ins/String/raw/returns-abrupt-from-next-key.js | Exception in /tmp/repro_built-ins__String__raw__returns-abrupt-from-next-key.js: Expected a Test262Error to be thrown but no exception was thrown at all
